"text","favorited","favoriteCount","replyToSN","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"In this program for young black men who have been paralyzed by gun violence, the value isn't just the community the… https://t.co/1ewU0YH0xO",FALSE,47,NA,TRUE,NA,"1183850016336732166",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",31,FALSE,FALSE,NA,NA
"2020 candidate Cory Booker continues to struggle making inroads with black voters — something he addressed in a wid… https://t.co/JWFLlCXBYY",FALSE,51,NA,TRUE,NA,"1183842914633469958",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NPR",21,FALSE,FALSE,NA,NA
"Typhoon Hagibis slammed into Japan over the weekend, dropping more than 35 inches of rain in some places and causin… https://t.co/qzzF5d0Gjk",FALSE,52,NA,TRUE,NA,"1183835878239752195",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",41,FALSE,FALSE,NA,NA
"Bolivian voters refused to allow Evo Morales to run for a fourth term, but an ally-packed court decided that would… https://t.co/RMPIjUnkHK",FALSE,46,NA,TRUE,NA,"1183827357523730439",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",24,FALSE,FALSE,NA,NA
"Joe Biden has unveiled an ethics plan that directly targets President Trump, accusing him of creating the ""most cor… https://t.co/CTuXNXIlPC",FALSE,310,NA,TRUE,NA,"1183813753768415239",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",64,FALSE,FALSE,NA,NA
"Twelve candidates, one stage. Tuesday's Democratic Primary debate promises to be a busy three hours, with the House… https://t.co/QrDSByhKNx",FALSE,48,NA,TRUE,NA,"1183804664426434561",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NPR",11,FALSE,FALSE,NA,NA
"A disturbing video depicting President Trump shooting, stabbing and setting on fire political critics and news orga… https://t.co/ZkeaVWeDeS",FALSE,277,NA,TRUE,NA,"1183793368872243202",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",164,FALSE,FALSE,NA,NA
"""I hated how I treated people. I hated what I'd become. But I'm grateful that I had it, because then I learned how… https://t.co/B8pLXgp2cT",FALSE,543,NA,TRUE,NA,"1183782862027460608",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",96,FALSE,FALSE,NA,NA
"Until recently, health care policymakers in poor countries mostly were concerned with women surviving the birth pro… https://t.co/nGqlJGfrte",FALSE,98,NA,TRUE,NA,"1183776520109727747",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",35,FALSE,FALSE,NA,NA
"American soldiers had been supporting Kurdish fighters as part of the U.S. military's operations against Islamic ex… https://t.co/9A9wUl1n1H",FALSE,109,NA,TRUE,NA,"1183769881793179649",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",65,FALSE,FALSE,NA,NA
"What's Chicago's mood ahead of a potential teachers strike? Public support is there, but the outpouring isn't as hu… https://t.co/eFFlRczUcs",FALSE,25,NA,TRUE,NA,"1183759450714378240",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",13,FALSE,FALSE,NA,NA
"Did you know … that the ice sheets of Greenland are so vast they actually exert their own gravitational pull? That… https://t.co/4rmR7IBGTL",FALSE,118,"NPR",TRUE,"1183027664225013760","1183754752884183041","5392522","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NPR",26,FALSE,FALSE,NA,NA
"Fiona Hill, who resigned as Trump's top Russia analyst just days before the president's controversial call with the… https://t.co/8D4IWw9qLT",FALSE,646,NA,TRUE,NA,"1183753466340139008",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",134,FALSE,FALSE,NA,NA
"Nearly half of all children who develop Type 1 diabetes don't know they have the disease until they end up in a com… https://t.co/LJdigmiOZY",FALSE,128,NA,TRUE,NA,"1183739980579069958",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",54,FALSE,FALSE,NA,NA
"On Monday in the nation's capital, there is no Columbus Day. The D.C. Council voted to replace it with Indigenous P… https://t.co/Wsg3SYtJTd",FALSE,1665,NA,TRUE,NA,"1183724425482555396",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",392,FALSE,FALSE,NA,NA
"The Nobel Prize for economics has been awarded to scholars at MIT and Harvard who  ""introduced a new approach to ob… https://t.co/aTTR9SuwCA",FALSE,447,NA,TRUE,NA,"1183705126978105344",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",151,FALSE,FALSE,NA,NA
"There's no easy way to study what nicotine does to a teenager's brain. But research on young animals shows how it i… https://t.co/YZDio3FAeq",FALSE,108,NA,TRUE,NA,"1183694442936582144",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",66,FALSE,FALSE,NA,NA
"ICYMI: Unilever — which owns Ben &amp; Jerry's, Vaseline, Dove and others — has announced plans to halve its non-recycl… https://t.co/HmJd2Ll1G0",FALSE,414,NA,TRUE,NA,"1183669054302801920",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",51,FALSE,FALSE,NA,NA
"All U.S. forces involved in the anti-ISIS fight will withdraw from northeast Syria in the coming days, two U.S. off… https://t.co/Wdzd8LycsA",FALSE,46,NA,TRUE,NA,"1183653942640680961",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",33,FALSE,FALSE,NA,NA
"ICYMI: A white Florida man who fatally shot an unarmed black man during a dispute in a convenience store parking lo… https://t.co/u6cuTAaJdF",FALSE,1283,NA,TRUE,NA,"1183639083580559365",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",164,FALSE,FALSE,NA,NA
"Brigid Kosgei won the Chicago Marathon with a time of 2 hours 14 minutes 4 seconds, defending her title after winni… https://t.co/I8VJge1Rbm",FALSE,869,NA,TRUE,NA,"1183623996014825472",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",114,FALSE,FALSE,NA,NA
"A white police officer fired through the window of a black woman's home and killed her after responding to a neighb… https://t.co/LuikUif0GE",FALSE,269,NA,TRUE,NA,"1183608898831474688",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",189,FALSE,FALSE,NA,NA
"President Trump's border wall between Arizona and Mexico will skirt one of the most beloved protected areas in the… https://t.co/hdBTvzEEk1",FALSE,290,NA,TRUE,NA,"1183593547066462210",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",195,FALSE,FALSE,NA,NA
"Psychedelics show “immense” promise when it comes to treating mental health disorders, psychologist William Richard… https://t.co/1S3Weu4X58",FALSE,1194,NA,TRUE,NA,"1183585998166548480",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",312,FALSE,FALSE,NA,NA
"Five young purebred bulls mysteriously showed up dead on a ranch in remote eastern Oregon — with their blood draine… https://t.co/i1LpE3BE40",FALSE,671,NA,TRUE,NA,"1183578703248482304",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",292,FALSE,FALSE,NA,NA
"Jimmy Fallon says his career writing children's books began with a ""goof"" competition with his wife over their daug… https://t.co/nlYve3bnj0",FALSE,239,NA,TRUE,NA,"1183571651755204609",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",27,FALSE,FALSE,NA,NA
"After years of doing all the standard poses for his baseball card, Keith Comstock wanted to do something different.… https://t.co/dD912eCbQm",FALSE,135,NA,TRUE,NA,"1183564089290907648",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",46,FALSE,FALSE,NA,NA
"Simone Biles is the most decorated gymnast in world championship history. 

She raked in her 24th and 25th world me… https://t.co/icVx9Utpxf",FALSE,5554,NA,TRUE,NA,"1183556040757071872",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",776,FALSE,FALSE,NA,NA
"Mashrou' Leila has been called the most popular indie band in the Arab world. They're banned in two Middle Eastern… https://t.co/us1AyVab9S",FALSE,352,NA,TRUE,NA,"1183548748472999936",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",81,FALSE,FALSE,NA,NA
"A majority of parents rarely, if ever, discuss ethnicity, gender, class or other identity categories with their kid… https://t.co/kBPpqR1ewa",FALSE,366,NA,TRUE,NA,"1183540953589731328",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",146,FALSE,FALSE,NA,NA
"After he was laid off, former CNN journalist Chris Moody and his wife, Cristi, left New York. 

Loading their lives… https://t.co/E6k80M0WjO",FALSE,443,NA,TRUE,NA,"1183533642439639040",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",84,FALSE,FALSE,NA,NA
"All U.S. forces involved in the anti-ISIS fight will withdraw from northeast Syria in the coming days, according to… https://t.co/TvJtUvCiDD",FALSE,87,NA,TRUE,NA,"1183525581171941381",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",49,FALSE,FALSE,NA,NA
"Atatiana Jefferson and her 8-year-old nephew were playing video games when a white police officer fired through her… https://t.co/Z6nAeLw6NE",FALSE,245,NA,TRUE,NA,"1183518303911927808",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",217,FALSE,FALSE,NA,NA
"Susan Rice, former national security adviser, said the Trump administration's decision to withdraw troops from nort… https://t.co/FTrnphlLlE",FALSE,556,NA,TRUE,NA,"1183517867804889088",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",228,FALSE,FALSE,NA,NA
"The U.S. government has waived 41 federal environmental laws to expedite the construction of President Trump's bord… https://t.co/KfgSqGK6db",FALSE,435,NA,TRUE,NA,"1183510739136450561",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",551,FALSE,FALSE,NA,NA
"Brigid Kosgei won the Chicago Marathon with a time of 2 hours 14 minutes 4 seconds, breaking the previous world rec… https://t.co/x83DYgOXob",FALSE,1702,NA,TRUE,NA,"1183503190366605315",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",217,FALSE,FALSE,NA,NA
"One Stanford psychologist says empathy can be developed, like a muscle. He thinks that could affect the world posit… https://t.co/oYewwD1Pb6",FALSE,1330,NA,TRUE,NA,"1183495644310319105",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",476,FALSE,FALSE,NA,NA
"Foreboding yet fulfilling, this duo of cosmic horror stories stabs at the heart of what it means to be human — and… https://t.co/tGiR5M2TMe",FALSE,111,NA,TRUE,NA,"1183487832037437447",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",33,FALSE,FALSE,NA,NA
"@NPR UPDATE: Two U.S. officials close to those fighting ISIS tell NPR’s Tom Bowman that all U.S. forces involved in… https://t.co/rjbyUR9sgq",FALSE,38,"NPR",TRUE,"1183434994112434178","1183481971911077895","5392522","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",26,FALSE,FALSE,NA,NA
"A machine designed to detect agents of chemical warfare can also test trace drug samples for fentanyl and other dea… https://t.co/U9EgYJf8lD",FALSE,91,NA,TRUE,NA,"1183480544740421632",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",31,FALSE,FALSE,NA,NA
"Simone Biles raked in her 24th and 25th world medals — both gold — at the World Championships today, surpassing Vit… https://t.co/UK1KyVWm19",FALSE,2736,NA,TRUE,NA,"1183474872963534848",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",348,FALSE,FALSE,NA,NA
"Eliud Kipchoge is the first person to run a marathon in under two hours, clocking in at 1:59:40 as he passed the fi… https://t.co/isGuEwvGTd",FALSE,438,NA,TRUE,NA,"1183472999267258370",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NPR",88,FALSE,FALSE,NA,NA
