"text","favorited","favoriteCount","replyToSN","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"In the MLB playoffs, the ball suddenly appears to be de-juiced https://t.co/SM7JHAHzIU",FALSE,26,NA,FALSE,NA,"1183853766602379264",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",8,FALSE,FALSE,NA,NA
"Turkey has started new offshore natural-gas-drilling activities off the coast of Cyprus, prompting the EU to draw u… https://t.co/ELEPczFWqr",FALSE,62,NA,TRUE,NA,"1183850000117370886",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",45,FALSE,FALSE,NA,NA
"Iran's president said Tehran had evidence that an Iranian tanker damaged in the Red Sea was attacked with rockets f… https://t.co/A7p8owKW7v",FALSE,31,NA,TRUE,NA,"1183846188531011584",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",22,FALSE,FALSE,NA,NA
"Heard on the Street: Cryptocurrency was always going to be a hard sell, especially when the seller was Facebook https://t.co/EeJ8HnM10b",FALSE,39,NA,FALSE,NA,"1183842461782806531",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",15,FALSE,FALSE,NA,NA
"A Fort Worth, Texas, police officer who fatally shot an African-American woman in her own home resigned, as her fam… https://t.co/C1Ot6nHdoj",FALSE,83,NA,TRUE,NA,"1183840432268156928",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",23,FALSE,FALSE,NA,NA
"Breaking: Trump says the U.S. will boost tariffs on steel imports from Turkey and order sanctions against officials… https://t.co/ANaJ4ot83f",FALSE,89,NA,TRUE,NA,"1183838579073671168",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",63,FALSE,FALSE,NA,NA
"Facebook’s image problem may have tarnished libra’s coin from the start. @WSJheard explains. #WSJWhatsNow… https://t.co/brmenM4B5C",FALSE,36,NA,TRUE,NA,"1183834864245563393",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","WSJ",21,FALSE,FALSE,NA,NA
"A former partner of the U.S. in the fight against Islamic State has become a force more closely aligned with Russia… https://t.co/JZp63ItOEg",FALSE,50,NA,TRUE,NA,"1183831119395000325",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",42,FALSE,FALSE,NA,NA
"How much to save for retirement depends on factors including your age, income and expectations. And as… https://t.co/s6AfQrZ8kE",FALSE,28,NA,TRUE,NA,"1183827313043148800",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","WSJ",6,FALSE,FALSE,NA,NA
"Hong Kong protesters want U.S. legislators to pass a law that would compel the city’s leaders to maintain a separat… https://t.co/ZuqMx1jYUq",FALSE,122,NA,TRUE,NA,"1183823552975425536",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",41,FALSE,FALSE,NA,NA
