"text","favorited","favoriteCount","replyToSN","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Rolling blackouts are a decidedly low-tech way for a utility company to prevent wildfires. Here are some other appr… https://t.co/SPiPdoe6RW",FALSE,65,NA,TRUE,NA,"1183853995577827336",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",15,FALSE,FALSE,NA,NA
"The Booker Prize has 2 winners after judges rebelled: Margaret Atwood’s “The Testaments” and Bernardine Evaristo’s… https://t.co/VbXmj9BYF7",FALSE,268,NA,TRUE,NA,"1183851046705270785",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",85,FALSE,FALSE,NA,NA
"Your version of this sweet bun perfumed with southern Indian spice may look slightly less put-together than those s… https://t.co/bemb2sGdN7",FALSE,119,NA,TRUE,NA,"1183850004022284288",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",19,FALSE,FALSE,NA,NA
"""It’s a question of, what would have gotten him first, the vaping or tobacco? In his case, it looks to me like he w… https://t.co/aVc0E41p1s",FALSE,71,NA,TRUE,NA,"1183846197439664128",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",29,FALSE,FALSE,NA,NA
"Breaking News: President Trump said he was halting trade negotiations with Turkey and increasing sanctions in respo… https://t.co/dbD76rzFSN",FALSE,212,NA,TRUE,NA,"1183843865108852737",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",128,FALSE,FALSE,NA,NA
"There's a decent chance you'll be reading about diet soda studies until the day you die. The repeated studies help… https://t.co/AQXAE3sshz",FALSE,87,NA,TRUE,NA,"1183842460469993473",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",25,FALSE,FALSE,NA,NA
"Elizabeth Warren is now a clear front-runner for the Democratic nomination. That she's risen without support from a… https://t.co/DkrpWg1NDz",FALSE,641,NA,TRUE,NA,"1183838670392037378",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",163,FALSE,FALSE,NA,NA
"Harold Bloom, the prodigious literary critic, has died at 89. He championed and defended the Western canon in an ou… https://t.co/ffPoZuAMTD",FALSE,281,NA,TRUE,NA,"1183834884042907649",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",229,FALSE,FALSE,NA,NA
"""The debate’s going to be great, I have no doubt, especially to my labradoodle. To her, no matter what happens onst… https://t.co/0k35zjc0P8",FALSE,78,NA,TRUE,NA,"1183829836579639296",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",15,FALSE,FALSE,NA,NA
"A $10,000 reward led to a tip. Then authorities charged 2 16-year-old boys with reckless homicide in a case in whic… https://t.co/8tqITPCBPw",FALSE,113,NA,TRUE,NA,"1183824817696509952",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",47,FALSE,FALSE,NA,NA
"Inside Barney Greengrass, the 111-year-old restaurant and Jewish deli, whose sturgeon was mailed to President Frank… https://t.co/FuAgA2plv3",FALSE,141,NA,TRUE,NA,"1183819818987933696",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",47,FALSE,FALSE,NA,NA
